cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
59100.0,1.3800000000000001,494.91999999999996,184800.0,-4.0,8.32,355.56,2.0
59400.0,0.96,473.66,174600.0,-1.5399999999999998,8.38,352.46,2.0
59700.0,0.96,466.1,172600.0,-0.38,8.4,351.78000000000003,2.0
60000.0,1.02,465.62,201000.0,1.98,8.440000000000001,284.15999999999997,2.0
60300.0,0.86,453.16,185400.0,1.5,8.58,354.2,2.0
60600.0,1.0,474.82,222000.0,0.45999999999999996,8.62,342.4,2.0
60900.0,0.9199999999999999,468.11,188300.0,0.16,8.7,345.64,2.0
61200.0,0.9800000000000001,458.1,190800.0,0.8,8.7,347.84000000000003,2.0
61500.0,0.8800000000000001,458.88,192600.0,2.3200000000000003,8.68,212.23999999999995,2.0
61800.0,0.86,457.14000000000004,205600.0,3.4,8.82,213.85999999999999,2.0
62100.0,0.8800000000000001,452.58000000000004,207400.0,3.04,8.860000000000001,359.21999999999997,2.0
62400.0,0.8200000000000001,453.12,201000.0,3.2,8.88,357.64,2.0
62700.0,0.79,456.23,201700.0,3.7399999999999998,8.9,353.2,2.0
63000.0,0.9,454.26000000000005,234000.0,5.08,8.940000000000001,74.41999999999999,2.0
63300.0,0.96,459.36,191000.0,6.659999999999999,9.24,8.98,2.0
63600.0,1.1,471.68,237600.0,4.4,9.040000000000001,32.739999999999995,2.0
63900.0,1.28,475.26000000000005,226600.0,5.04,9.280000000000001,40.96,2.0
64200.0,1.06,463.66,212600.0,4.86,9.24,15.5,2.0
64500.0,1.02,472.1,205600.0,5.0,9.32,14.14,2.0
64800.0,1.0,467.01000000000005,206500.0,4.66,9.360000000000001,15.919999999999998,1.0
65100.0,1.08,473.56000000000006,205000.0,4.58,9.379999999999999,23.98,1.0
65400.0,1.02,469.18,228000.0,5.24,9.540000000000001,11.620000000000001,1.0
65700.0,1.16,467.02,243600.0,5.1,9.5,18.32,1.0
66000.0,0.9800000000000001,466.18,227000.0,4.86,9.5,7.640000000000001,1.0
66300.0,1.0,469.28000000000003,240200.0,5.34,9.48,6.919999999999999,1.0
66600.0,0.96,469.84,219200.0,5.04,9.360000000000001,2.84,1.0
66900.0,1.01,467.09,216800.0,4.54,9.3,4.4799999999999995,1.0
67200.0,0.9800000000000001,464.6,199800.0,4.54,9.32,148.06,1.0
67500.0,0.96,465.5,213000.0,4.5600000000000005,9.360000000000001,76.64,1.0
67800.0,1.1800000000000002,483.64,246400.0,5.5,9.34,82.16,1.0
68100.0,0.9800000000000001,463.02,212200.0,4.86,9.42,215.58,1.0
68400.0,0.9,458.93999999999994,193000.0,3.5200000000000005,9.58,350.2,1.0
68700.0,0.85,456.3,196400.0,3.2399999999999998,9.540000000000001,344.62,1.0
69000.0,0.8200000000000001,460.78000000000003,204000.0,3.4200000000000004,9.68,340.34000000000003,1.0
69300.0,0.86,457.0,210200.0,3.8,9.6,343.02,1.0
69600.0,0.8400000000000001,451.46000000000004,186400.0,4.12,9.66,346.18,1.0
69900.0,0.8800000000000001,447.71999999999997,178200.0,3.1799999999999997,9.58,341.32,1.0
70200.0,0.9,447.16,177400.0,2.04,9.639999999999999,340.91999999999996,1.0
70500.0,0.9,443.76000000000005,195600.0,0.66,9.6,341.08000000000004,1.0
70800.0,0.86,450.12,203200.0,2.2399999999999998,9.58,341.04,1.0
71100.0,0.8,452.16,199400.0,3.06,9.62,341.91999999999996,1.0
71400.0,0.72,451.06000000000006,209000.0,3.3200000000000003,9.62,340.56,1.0
71700.0,0.6799999999999999,447.91999999999996,200400.0,3.4799999999999995,9.6,346.7,1.0
72000.0,0.7,446.6,207600.0,3.1,9.6,345.98,1.0
72300.0,0.6399999999999999,443.32,206200.0,3.1399999999999997,9.62,346.14,1.0
72600.0,0.625,447.95500000000004,186850.0,3.3200000000000003,9.7,342.82,1.0
72900.0,0.6649999999999999,443.83500000000004,188850.0,3.2,9.719999999999999,342.82,1.0
73200.0,0.655,443.95500000000004,194750.0,3.3600000000000003,9.68,343.14,1.0
73500.0,0.655,441.035,198750.0,3.3200000000000003,9.58,345.24,1.0
73800.0,0.6599999999999999,435.78000000000003,191800.0,3.4200000000000004,9.68,343.5,1.0
74100.0,0.74,434.66,184000.0,3.34,9.6,346.64,1.0
74400.0,0.78,431.48,177600.0,3.12,9.6,347.5,1.0
74700.0,0.78,430.52,171600.0,3.2,9.66,346.91999999999996,1.0
75000.0,0.72,430.84,167200.0,3.46,9.639999999999999,346.28000000000003,1.0
75300.0,0.78,434.41999999999996,196800.0,3.6,9.559999999999999,344.78000000000003,1.0
75600.0,0.8,439.26000000000005,203400.0,3.8200000000000003,9.5,342.84,1.0
75900.0,0.76,449.62,204200.0,3.8600000000000003,9.559999999999999,340.32,1.0
76200.0,0.7,440.21999999999997,223000.0,4.2,9.58,339.91999999999996,1.0
76500.0,0.74,431.36,209000.0,3.66,9.559999999999999,342.62,1.0
76800.0,0.75,442.34,224000.0,3.88,9.5,338.02,1.0
77100.0,0.8,444.16,214600.0,3.8600000000000003,9.459999999999999,339.52,1.0
77400.0,0.78,444.32,212400.0,3.9799999999999995,9.48,339.21999999999997,1.0
77700.0,0.74,443.82,203200.0,3.9,9.48,338.0,1.0
78000.0,0.72,448.1,191200.0,3.9199999999999995,9.7,341.34000000000003,1.0
78300.0,0.76,450.3,186200.0,3.9,9.66,341.4,1.0
78600.0,0.71,453.86,175800.0,3.84,9.74,341.71999999999997,1.0
78900.0,0.74,459.88,183400.0,3.8600000000000003,9.74,339.52,1.0
79200.0,0.7,469.02,178600.0,3.6800000000000006,9.76,333.24,1.0
79500.0,0.74,470.34,162600.0,4.24,9.92,337.58000000000004,1.0
79800.0,0.78,468.78000000000003,172400.0,3.62,9.98,335.82,1.0
80100.0,0.78,479.28000000000003,169600.0,3.4200000000000004,9.940000000000001,330.44,1.0
80400.0,0.9199999999999999,488.86,181600.0,3.9200000000000004,9.82,335.82,1.0
80700.0,0.97,495.05,168000.0,4.26,9.92,331.64,1.0
81000.0,0.9,505.7,182600.0,5.12,9.82,332.65999999999997,1.0
81300.0,0.86,499.7,174600.0,5.12,9.8,336.26,1.0
81600.0,0.8200000000000001,492.26000000000005,169800.0,3.78,9.84,336.6,1.0
81900.0,0.78,474.26000000000005,180600.0,3.1,9.940000000000001,338.58000000000004,1.0
82200.0,0.78,480.91999999999996,150000.0,3.72,9.98,333.76000000000005,1.0
82500.0,0.8,468.16,180000.0,3.3600000000000003,10.040000000000001,340.14,1.0
82800.0,0.8100000000000002,472.15,155600.0,3.88,10.02,337.65999999999997,1.0
83100.0,0.8200000000000001,469.78000000000003,138600.0,3.7,10.1,335.0,1.0
83400.0,0.8200000000000001,471.23999999999995,154800.0,3.72,10.0,335.78000000000003,1.0
83700.0,0.78,470.0,143200.0,3.9200000000000004,9.98,338.04,1.0
84000.0,0.8800000000000001,471.86,125200.0,3.9200000000000004,10.02,338.6,1.0
84300.0,0.86,470.58000000000004,121000.0,4.16,10.08,340.5,1.0
84600.0,0.95,473.18999999999994,114800.0,4.2,10.1,341.24,1.0
84900.0,1.06,484.78000000000003,123000.0,4.0,10.1,339.41999999999996,1.0
85200.0,1.2,487.84,117800.0,4.12,10.08,340.48,1.0
85500.0,1.08,483.48,142200.0,3.72,9.959999999999999,340.68,1.0
85800.0,0.9800000000000001,478.48,161600.0,3.5200000000000005,10.02,343.78,1.0
86100.0,1.02,484.08000000000004,144400.0,3.16,9.959999999999999,340.15999999999997,1.0
86400.0,0.9400000000000001,481.14,165000.0,3.62,9.860000000000001,341.65999999999997,1.0
86700.0,0.9199999999999999,480.98999999999995,198700.0,3.34,9.8,340.24,3.0
87000.0,0.96,478.5,167800.0,3.72,9.82,342.52,3.0
87300.0,0.9,476.36,176400.0,3.5,9.8,343.48,3.0
87600.0,0.86,475.06000000000006,170000.0,3.2600000000000002,9.860000000000001,341.78000000000003,3.0
87900.0,0.8400000000000001,471.34,170000.0,2.7399999999999998,9.84,340.36,3.0
88200.0,0.86,476.86,194400.0,2.92,9.780000000000001,340.32,3.0
88500.0,0.8400000000000001,476.58000000000004,190800.0,3.0,9.68,339.62,3.0
88800.0,0.86,480.43999999999994,190600.0,2.34,9.7,337.94,3.0
89100.0,0.9,480.14,202800.0,2.5599999999999996,9.559999999999999,339.7,3.0
89400.0,0.9400000000000001,475.12,208400.0,3.2,9.440000000000001,339.44,3.0
89700.0,1.06,475.9,235200.0,3.3600000000000003,9.32,340.96000000000004,3.0
90000.0,1.2,492.21999999999997,262400.0,3.46,9.219999999999999,340.52,3.0
90300.0,1.16,489.64,229400.0,3.2399999999999998,9.34,342.48,3.0
90600.0,1.42,489.48,191900.0,3.3200000000000003,9.08,282.28000000000003,3.0
90900.0,1.92,494.96000000000004,177800.0,3.2600000000000002,8.92,351.56,3.0
